Color:,Style:,Pattern Type:,Type:,Fabric:,Material:,Composition:,Care Instructions:,rating,price
Light Grey ,Elegant ,Plain ,Bodycon ,Slight Stretch ,Fabric ,"96% Polyester, 4% Elastane ",Hand wash or professional dry clean ,4.91,₪39.00
Mint Green ,Boho ,"Plants, All Over Print ",Shirt ,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.9,₪79.00
White ,Boho ,Floral ,A Line ,Slight Stretch ,Woven Fabric ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,4.89,₪79.00
Black ,Elegant ,Plain ,A Line ,Non-Stretch ,Fabric ,100% Polyester ,"Hand wash,do not dry clean ",4.94,₪119.00
Black ,Elegant ,Plain ,Bodycon ,Slight Stretch ,Flannelette ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,4.94,₪49.00
White ,Elegant ,Plain ,A Line ,Slight Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.92,₪139.00
Brown ,Casual ,Plain ,Pinafore ,Non-Stretch ,Fabric ,100% Polyester ,"Machine wash, do not dry clean ",4.87,₪39.00
Brown ,Elegant ,Plain ,A Line ,Slight Stretch ,Knitted Fabric ,"97% Polyester, 3% Elastane ",Machine wash or professional dry clean ,5.0,₪59.00
Red ,Boho ,Floral ,A Line ,Non-Stretch ,Fabric ,100% Viscose ,Machine wash or professional dry clean ,4.95,₪79.00
Black ,Cute ,Plain ,Smock ,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.91,₪69.00
Mocha Brown ,Casual ,Plain ,Bodycon ,High Stretch ,Knitted Fabric ,"60% Polyester, 30% Viscose, 10% Elastane ","Hand wash,do not dry clean ",4.92,₪59.00
Black ,Casual ,Plain ,A Line ,Medium Stretch ,Fabric ,"95% Polyester, 5% Spandex ",Machine wash or professional dry clean ,4.93,₪39.00
Rust Brown ,Elegant ,Plain ,Bodycon ,Slight Stretch ,Knitted Fabric ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,4.88,₪29.00
Coral Pink ,Elegant ,Plain ,Tunic ,Slight Stretch ,Knitted Fabric ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,4.93,₪39.00
Apricot ,Casual ,Plain ,Pinafore ,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.87,₪69.00
Black ,Party ,Plain ,A Line ,Slight Stretch ,Chiffon ,100% Polyester ,"Hand wash,do not dry clean ",4.94,₪129.00
White ,Boho ,Plain ,A Line ,Slight Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,5.0,₪159.00
Black ,Elegant ,Plain ,Bodycon ,Slight Stretch ,Fabric ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,4.9,₪59.00
White ,Casual ,Plain ,A Line ,Non-Stretch ,Fabric ,100% Polyester ,Hand wash or professional dry clean ,4.94,₪29.00
Black ,Party ,Plain ,Bodycon ,Slight Stretch ,Fabric ,100% Polyester ,"Hand wash,do not dry clean ",5.0,₪209.00
Mint Green ,Party ,Plain ,Cami ,Non-Stretch ,Satin ,100% Polyester ,Machine wash or professional dry clean ,4.94,₪29.00
Dark Green ,Party ,Plain ,Bodycon ,Slight Stretch ,Fabric ,100% Polyester ,"Hand wash,do not dry clean ",0.0,₪219.00
Black ,Casual ,Plain ,Fitted ,High Stretch ,Knitted Fabric ,"95% Polyester, 5% Elastane ",Hand wash or professional dry clean ,4.98,₪59.00
Dusty Pink ,Elegant ,Plain ,A Line ,Non-Stretch ,Fabric ,"96% Polyester, 4% Elastane ",Machine wash or professional dry clean ,5.0,₪79.00
Black ,Party ,Plain ,Bodycon ,High Stretch ,Mesh Fabric ,"95% Polyester, 5% Spandex ","Machine wash, do not dry clean ",4.86,₪79.00
Apricot ,Elegant ,Plain ,Shirt ,Non-Stretch ,Woven Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.85,₪79.00
Navy Blue ,Elegant ,Floral ,Fitted ,Slight Stretch ,Flannelette ,"95% Polyester, 5% Elastane ",Hand wash or professional dry clean ,4.95,₪99.00
Black ,Casual ,All Over Print ,A Line ,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.93,₪79.00
Rust Brown ,Casual ,Plain ,Bodycon ,Non-Stretch ,Fabric ,"97% Polyester, 3% Spandex ",Machine wash or professional dry clean ,5.0,₪59.00
Grey ,Casual ,Plain ,A Line ,Slight Stretch ,Fabric ,"98% Polyester, 2% Elastane ","Machine wash, do not dry clean ",5.0,₪79.00
Navy Blue ,Party ,Plain ,A Line ,Slight Stretch ,Chiffon ,100% Polyester ,Machine wash or professional dry clean ,4.93,₪149.00
Grey ,Elegant ,Plain ,A Line ,Non-Stretch ,Woven Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.97,₪89.00
Dark Green ,Elegant ,Plain ,A Line ,Slight Stretch ,Fabric ,"95% Polyester, 5% Spandex ","Hand wash,do not dry clean ",5.0,₪169.00
Black ,Sexy ,Plain ,Cami ,Slight Stretch ,Fabric ,"95.7% Polyester, 4.3% Elastane ",Machine wash or professional dry clean ,5.0,₪169.00
Baby Blue ,Elegant ,Plain ,A Line ,Non-Stretch ,Fabric ,"98% Polyester, 2% Elastane ",Machine wash or professional dry clean ,4.97,₪89.00
Multicolor ,Elegant ,All Over Print ,Shirt ,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,5.0,₪39.00
Grey ,Elegant ,Plain ,A Line ,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.89,₪69.00
Black and White ,Elegant ,Houndstooth ,A Line ,Slight Stretch ,Knitted Fabric ,"97% Polyester, 3% Elastane ",Machine wash or professional dry clean ,4.88,₪49.00
Purple ,Casual ,Plain ,Tunic ,Non-Stretch ,Fabric ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,4.91,₪89.00
