Color,Style,Pattern Type,Type,Fabric,Material,Composition,Care Instructions,rating,price,category,Polyester,Elastane,Viscose,Spandex,Cotton,Metallized Fibres,Polyamide,Rayon,Silk,Nylon,Cashmere,Linen,Polyurethane
Light Grey ,Elegant ,Plain ,Bodycon ,Slight Stretch ,Fabric ,"96% Polyester, 4% Elastane ",Hand wash or professional dry clean ,4.91,39.0,dresses,96.0,4.0,,,,,,,,,,,
Mint Green ,Boho ,"Plants, All Over Print ",Shirt ,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.9,79.0,dresses,100.0,,,,,,,,,,,,
White ,Boho ,Floral ,A Line ,Slight Stretch ,Woven Fabric ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,4.89,79.0,dresses,95.0,5.0,,,,,,,,,,,
Black ,Elegant ,Plain ,A Line ,Non-Stretch ,Fabric ,100% Polyester ,"Hand wash,do not dry clean ",4.94,119.0,dresses,100.0,,,,,,,,,,,,
Black ,Elegant ,Plain ,Bodycon ,Slight Stretch ,Flannelette ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,4.94,49.0,dresses,95.0,5.0,,,,,,,,,,,
White ,Elegant ,Plain ,A Line ,Slight Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.92,139.0,dresses,100.0,,,,,,,,,,,,
Brown ,Casual ,Plain ,Pinafore ,Non-Stretch ,Fabric ,100% Polyester ,"Machine wash, do not dry clean ",4.87,39.0,dresses,100.0,,,,,,,,,,,,
Brown ,Elegant ,Plain ,A Line ,Slight Stretch ,Knitted Fabric ,"97% Polyester, 3% Elastane ",Machine wash or professional dry clean ,5.0,59.0,dresses,97.0,3.0,,,,,,,,,,,
Red ,Boho ,Floral ,A Line ,Non-Stretch ,Fabric ,100% Viscose ,Machine wash or professional dry clean ,4.95,79.0,dresses,,,100.0,,,,,,,,,,
Black ,Cute ,Plain ,Smock ,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.91,69.0,dresses,100.0,,,,,,,,,,,,
Mocha Brown ,Casual ,Plain ,Bodycon ,High Stretch ,Knitted Fabric ,"60% Polyester, 30% Viscose, 10% Elastane ","Hand wash,do not dry clean ",4.92,59.0,dresses,60.0,10.0,30.0,,,,,,,,,,
Black ,Casual ,Plain ,A Line ,Medium Stretch ,Fabric ,"95% Polyester, 5% Spandex ",Machine wash or professional dry clean ,4.93,39.0,dresses,95.0,,,5.0,,,,,,,,,
Rust Brown ,Elegant ,Plain ,Bodycon ,Slight Stretch ,Knitted Fabric ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,4.88,29.0,dresses,95.0,5.0,,,,,,,,,,,
Coral Pink ,Elegant ,Plain ,Tunic ,Slight Stretch ,Knitted Fabric ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,4.93,39.0,dresses,95.0,5.0,,,,,,,,,,,
Apricot ,Casual ,Plain ,Pinafore ,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.87,69.0,dresses,100.0,,,,,,,,,,,,
Black ,Party ,Plain ,A Line ,Slight Stretch ,Chiffon ,100% Polyester ,"Hand wash,do not dry clean ",4.94,129.0,dresses,100.0,,,,,,,,,,,,
White ,Boho ,Plain ,A Line ,Slight Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,5.0,159.0,dresses,100.0,,,,,,,,,,,,
Black ,Elegant ,Plain ,Bodycon ,Slight Stretch ,Fabric ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,4.9,59.0,dresses,95.0,5.0,,,,,,,,,,,
White ,Casual ,Plain ,A Line ,Non-Stretch ,Fabric ,100% Polyester ,Hand wash or professional dry clean ,4.94,29.0,dresses,100.0,,,,,,,,,,,,
Black ,Party ,Plain ,Bodycon ,Slight Stretch ,Fabric ,100% Polyester ,"Hand wash,do not dry clean ",5.0,209.0,dresses,100.0,,,,,,,,,,,,
Mint Green ,Party ,Plain ,Cami ,Non-Stretch ,Satin ,100% Polyester ,Machine wash or professional dry clean ,4.94,29.0,dresses,100.0,,,,,,,,,,,,
Dark Green ,Party ,Plain ,Bodycon ,Slight Stretch ,Fabric ,100% Polyester ,"Hand wash,do not dry clean ",0.0,219.0,dresses,100.0,,,,,,,,,,,,
Black ,Casual ,Plain ,Fitted ,High Stretch ,Knitted Fabric ,"95% Polyester, 5% Elastane ",Hand wash or professional dry clean ,4.98,59.0,dresses,95.0,5.0,,,,,,,,,,,
Dusty Pink ,Elegant ,Plain ,A Line ,Non-Stretch ,Fabric ,"96% Polyester, 4% Elastane ",Machine wash or professional dry clean ,5.0,79.0,dresses,96.0,4.0,,,,,,,,,,,
Black ,Party ,Plain ,Bodycon ,High Stretch ,Mesh Fabric ,"95% Polyester, 5% Spandex ","Machine wash, do not dry clean ",4.86,79.0,dresses,95.0,,,5.0,,,,,,,,,
Apricot ,Elegant ,Plain ,Shirt ,Non-Stretch ,Woven Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.85,79.0,dresses,100.0,,,,,,,,,,,,
Navy Blue ,Elegant ,Floral ,Fitted ,Slight Stretch ,Flannelette ,"95% Polyester, 5% Elastane ",Hand wash or professional dry clean ,4.95,99.0,dresses,95.0,5.0,,,,,,,,,,,
Black ,Casual ,All Over Print ,A Line ,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.93,79.0,dresses,100.0,,,,,,,,,,,,
Rust Brown ,Casual ,Plain ,Bodycon ,Non-Stretch ,Fabric ,"97% Polyester, 3% Spandex ",Machine wash or professional dry clean ,5.0,59.0,dresses,97.0,,,3.0,,,,,,,,,
Grey ,Casual ,Plain ,A Line ,Slight Stretch ,Fabric ,"98% Polyester, 2% Elastane ","Machine wash, do not dry clean ",5.0,79.0,dresses,98.0,2.0,,,,,,,,,,,
